
libgomp: Invalid value for enviroment variable GOMP_CPU_AFFINITY

info: running 4 threads
information: do warmup.
# index iter.:   frame hex       dec.   increment; drop:         drop      ,  index drops
#           0: 01 db 2b 37   31140663    31140663
#        2150: 01 db 33 9e   31142814           2; drop:            1 drops,            1 index drops
#     1149000: 01 ec b4 57   32289879           2; drop:          213 drops,          216 index drops
#     1159675: 01 ec de 0b   32300555           2; drop:          214 drops,          217 index drops
#     1159859: 01 ec de c4   32300740           2; drop:          215 drops,          218 index drops
#     1170534: 01 ed 08 78   32311416           2; drop:          216 drops,          219 index drops
#     1170718: 01 ed 09 31   32311601           2; drop:          217 drops,          220 index drops
#     1181578: 01 ed 33 9e   32322462           2; drop:          218 drops,          221 index drops
#     1181762: 01 ed 34 57   32322647           2; drop:          219 drops,          222 index drops
information: i=1190729, received=44102, dt=3000ms, rate=114.849MB/s.
#     1192437: 01 ed 5e 0b   32333323           2; drop:          220 drops,          223 index drops
#     1192621: 01 ed 5e c4   32333508           2; drop:          221 drops,          224 index drops
#     1203296: 01 ed 88 78   32344184           2; drop:          222 drops,          225 index drops
#     1203480: 01 ed 89 31   32344369           2; drop:          223 drops,          226 index drops
#     1214340: 01 ed b3 9e   32355230           2; drop:          224 drops,          227 index drops
#     1214524: 01 ed b4 57   32355415           2; drop:          225 drops,          228 index drops
#     1225199: 01 ed de 0b   32366091           2; drop:          226 drops,          229 index drops
#     1225383: 01 ed de c4   32366276           2; drop:          227 drops,          230 index drops
test fail: in total,          227 drops,          230 index drops (i.e. 0.0186%) on 8192 BoF (Bytes of Frame).
count=1234567, elapsed time: 83985ms, rate=114.843MB/s.
